VALDATA,VALVALOR,SERIE,CODIGO
2024-08-01 03:00:00,6966.5,inflacao_ipca,PRECOS12_IPCA12
2024-09-01 03:00:00,6997.15,inflacao_ipca,PRECOS12_IPCA12
2024-10-01 03:00:00,7036.33,inflacao_ipca,PRECOS12_IPCA12
2024-11-01 03:00:00,7063.77,inflacao_ipca,PRECOS12_IPCA12
2024-12-01 03:00:00,7100.5,inflacao_ipca,PRECOS12_IPCA12
2025-01-01 03:00:00,7111.86,inflacao_ipca,PRECOS12_IPCA12
2025-02-01 03:00:00,7205.03,inflacao_ipca,PRECOS12_IPCA12
2025-03-01 03:00:00,7245.38,inflacao_ipca,PRECOS12_IPCA12
2025-04-01 03:00:00,7276.54,inflacao_ipca,PRECOS12_IPCA12
2025-05-01 03:00:00,7295.46,inflacao_ipca,PRECOS12_IPCA12
2025-06-01 03:00:00,7312.97,inflacao_ipca,PRECOS12_IPCA12
2025-07-01 03:00:00,7331.98,inflacao_ipca,PRECOS12_IPCA12
2025-08-01 03:00:00,7323.91,inflacao_ipca,PRECOS12_IPCA12
2025-09-01 03:00:00,7359.06,inflacao_ipca,PRECOS12_IPCA12
