"nc,nn,mc,mn,v,d1c,d1n,d2c,d2n,d3c,d3n,d4c,d4n"
"1,Brasil,,,..,1,Brasil,202005,maio 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202005,maio 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202006,junho 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202006,junho 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202007,julho 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202007,julho 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202008,agosto 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202008,agosto 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202009,setembro 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202009,setembro 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202010,outubro 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202010,outubro 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202011,novembro 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202011,novembro 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202012,dezembro 2020,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202012,dezembro 2020,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202101,janeiro 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202101,janeiro 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202102,fevereiro 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202102,fevereiro 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202103,março 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202103,março 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202104,abril 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202104,abril 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202105,maio 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202105,maio 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202106,junho 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202106,junho 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202107,julho 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202107,julho 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202108,agosto 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202108,agosto 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202109,setembro 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202109,setembro 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202110,outubro 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202110,outubro 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202111,novembro 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202111,novembro 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202112,dezembro 2021,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202112,dezembro 2021,565,Índice de receita nominal de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202201,janeiro 2022,564,Índice de volume de vendas no comércio varejista,0,"
"1,Brasil,,,..,1,Brasil,202201,janeiro 2022,565,Índice de receita nominal de vendas no comércio varejista,0,"
